date,JPM,BAC,WFC,C,GS,JPM_Close,BAC_Close,WFC_Close,C_Close,GS_Close,JPM_Vol,BAC_Vol,WFC_Vol,C_Vol,GS_Vol,JPM_High,BAC_High,WFC_High,C_High,GS_High,JPM_Low,BAC_Low,WFC_Low,C_Low,GS_Low,JPM_Div,BAC_Div,WFC_Div,C_Div,GS_Div
2020-09-04,103.52,26.54,24.79,52.52,210.94,103.52,26.54,24.79,52.52,210.94,26325470.0,99621412.0,48745000.0,25124049.0,3668891.0,105.21,26.76,25.19,53.36,213.35,101.37,25.8,24.25,51.44,205.32,0.0,0.0,0.0,0.0,0.0
2020-09-03,101.33,25.66,24.52,51.5,207.56,101.33,25.66,24.52,51.5,207.56,23281235.0,86192495.0,42349263.0,25003215.0,3533485.0,104.99,26.62,25.36,53.64,215.23,100.64,25.46,24.3,51.23,205.83,0.0,0.18,0.0,0.0,0.0
2020-09-02,101.65,25.8387,24.57,51.95,210.04,101.65,26.02,24.57,51.95,210.04,14475673.0,57300855.0,40334000.0,15348570.0,3565242.0,101.94,26.1579,24.66,52.14,210.93,99.56,25.485,23.93,50.6575,205.37,0.0,0.0,0.0,0.0,0.0
2020-09-01,100.14,25.5309,24.05,51.2,205.46,100.14,25.71,24.05,51.2,205.46,11602053.0,46152100.0,30541866.0,16909928.0,2458801.0,100.8712,25.9,24.335,51.565,206.71,99.04,25.4,23.74,50.54,203.01,0.0,0.0,0.0,0.0,0.0
2020-08-31,100.19,25.5607,24.15,51.12,204.87,100.19,25.74,24.15,51.12,204.87,14219441.0,49416216.0,27615501.0,16280126.0,3046152.0,102.18,26.14,24.5118,52.04,206.41,100.02,25.69,24.09,51.1,203.63,0.0,0.0,0.0,0.0,1.25
2020-08-28,102.77,26.1168,24.69,52.28,206.4504,102.77,26.3,24.69,52.28,207.71,13756725.0,46466386.0,25797331.0,16990331.0,3697406.0,103.25,26.47,24.77,52.37,212.0,101.81,25.99,24.3453,51.525,207.09,0.0,0.0,0.0,0.0,0.0
2020-08-27,102.35,25.8685,24.59,51.72,208.8756,102.35,26.05,24.59,51.72,210.15,22163863.0,52934791.0,36706594.0,19393454.0,3692411.0,102.65,26.22,24.78,52.2101,213.0,99.0,25.44,23.97,50.65,206.41,0.0,0.0,0.0,0.0,0.0
2020-08-26,99.09,25.382,24.04,50.85,205.9633,99.09,25.56,24.04,50.85,207.22,12052437.0,39477979.0,28348206.0,14541566.0,2563236.0,100.27,25.94,24.58,51.79,207.28,99.05,25.54,24.04,50.815,205.03,0.0,0.0,0.0,0.0,0.0
2020-08-25,100.5,25.8189,24.61,51.65,204.7507,100.5,26.0,24.61,51.65,206.0,13648931.0,57304734.0,35077309.0,17244775.0,2627906.0,101.98,26.19,24.89,52.505,210.49,99.8,25.73,24.3,50.97,205.17,0.0,0.0,0.0,0.0,0.0
2020-08-24,100.06,25.511,24.49,51.06,206.0826,100.06,25.69,24.49,51.06,207.34,17898270.0,54579461.0,36906689.0,19745076.0,3097432.0,100.21,25.7,24.51,51.13,207.43,97.42,25.04,23.61,49.45,201.32,0.0,0.0,0.0,0.0,0.0
2020-08-21,97.32,24.806,23.64,49.3,201.2024,97.32,24.98,23.64,49.3,202.43,12228301.0,55010685.0,27197999.0,17416043.0,1781141.0,98.565,25.43,23.91,50.08,203.35,96.94,24.9,23.52,49.1599,199.82,0.0,0.0,0.0,0.0,0.0
2020-08-20,97.37,24.9252,23.75,49.58,200.6259,97.37,25.1,23.75,49.58,201.85,13672577.0,49403690.0,36022144.0,15920880.0,1764214.0,98.03,25.325,23.94,50.015,203.28,96.8,25.02,23.6,49.23,200.34,0.0,0.0,0.0,0.0,0.0
2020-08-19,98.55,25.3224,24.07,50.29,201.7888,98.55,25.5,24.07,50.29,203.02,13533015.0,59855953.0,33667843.0,20837297.0,2458524.0,100.59,26.08,24.39,51.33,206.1,98.34,25.39,23.84,50.0,201.77,0.0,0.0,0.0,0.0,0.0
2020-08-18,98.32,25.3522,24.04,50.34,200.0892,98.32,25.53,24.04,50.34,201.31,13246506.0,45850127.0,29680691.0,17100781.0,3067854.0,99.91,25.985,24.45,51.53,203.58,98.12,25.46,24.01,50.28,201.1,0.0,0.0,0.0,0.0,0.0
2020-08-17,99.71,25.7196,24.47,51.42,201.8385,99.71,25.9,24.47,51.42,203.07,14886101.0,55751094.0,36512600.0,19738660.0,3895932.0,102.0,26.41,25.14,52.82,207.85,99.53,25.84,24.44,51.35,202.53,0.0,0.0,0.0,0.0,0.0
2020-08-14,102.41,26.2856,25.3,52.93,206.7088,102.41,26.47,25.3,52.93,207.97,12134360.0,50931874.0,26743370.0,13861310.0,2287572.0,103.31,26.6601,25.49,53.345,209.48,101.42,25.92,24.6355,52.355,206.61,0.0,0.0,0.0,0.0,0.0
2020-08-13,102.37,26.1664,25.02,52.89,207.1262,102.37,26.35,25.02,52.89,208.39,13598648.0,55955478.0,27387846.0,13815271.0,2219859.0,103.36,26.67,25.23,53.48,212.2,101.635,26.14,24.68,52.57,207.69,0.0,0.0,0.0,0.0,0.0
